Scheme	Value	Meaning
SRT 	T-11300 	Rib
SRT 	T-15680 	Sacroiliac joint
SRT 	T-11AD0 	Sacrum
SRT 	T-12280 	Scapula
SRT 	T-D1460 	Sella turcica
SRT 	T-12980 	Sesamoid bones of foot
SRT 	T-D2220 	Shoulder
SRT 	T-11100 	Skull
SRT 	T-58000 	Small intestine
SRT 	T-D0146 	Spine
SRT 	T-15610 	Sternoclavicular joint
SRT 	T-11210 	Sternum
SRT 	T-57000 	Stomach
SRT 	T-61300 	Submandibular gland
SRT 	T-15770 	Tarsal joint
SRT 	T-15290 	Temporomandibular joint
SRT 	T-11502 	Thoracic spine
SRT 	T-D00F8 	Thoraco-lumbar spine
SRT 	T-D8810 	Thumb
SRT 	T-D9800 	Toe
SRT 	T-25000 	Trachea
SRT 	T-70010 	Upper urinary tract
SRT 	T-73800 	Ureter
SRT 	T-75000 	Urethra
SRT 	T-88920 	Uterus and fallopian tubes
SRT 	T-11011 	Vertebral column and cranium
SRT 	T-15460 	Wrist joint
SRT 	T-11167 	Zygomatic arch
SRT 	T-42500 	Abdominal aorta
SRT 	T-41070 	Abdominal aorta and its branches
SRT 	T-B3000 	Adrenal gland
SRT 	T-42300 	Aortic arch
SRT 	T-A0100 	Brain
SRT 	T-45010 	Carotid Artery
SRT 	T-A6000 	Cerebellum
SRT 	T-45526 	Circle of Willis
SRT 	T-43000 	Coronary artery
SRT 	T-A0193 	Cranial venous system
SRT 	T-41040 	Iliac arterial system
SRT 	T-71000 	Kidney
SRT 	T-62002 	Liver
SRT 	T-65000 	Pancreas
SRT 	T-B7000 	Parathyroid
SRT 	T-44000 	Pulmonary artery
SRT 	T-46600 	Renal artery
SRT 	T-C3000 	Spleen
SRT 	T-94000 	Testis
SRT 	T-42070 	Thoracic aorta
SRT 	T-C8000 	Thymus
SRT 	T-B6000 	Thyroid
SRT 	T-83000 	Uterus 
